Date,Country,local_price,dollar_valuation
2014-01-31,AUS,5.05,-3.2573256442602
2015-07-31,ISR,17.5,-3.3058166551753
2015-01-31,URY,113.0,-3.4152950000321
2008-06-30,POL,7.0,-3.4785835868227
2012-01-31,CHL,2050.0,-3.4841370136347
2012-01-31,NZL,5.1,-3.5643830916654
2017-07-31,BRA,16.5,-3.744008064502
2012-07-31,GBR,2.69,-3.8157943385326
2009-07-31,CRI,2000.0,-3.8357468397181
2010-07-31,NZL,5.0,-3.8392857142857
2012-07-31,ARG,19.0,-3.8483283288602
2012-07-31,CHL,2050.0,-3.9215868919987
2020-01-31,SWE,51.5,-3.977
2007-01-31,CHL,1670.0,-3.9834230542126
2007-01-31,CAN,3.63,-4.044840401193
2012-01-31,CRI,2050.0,-4.1452045683359
2007-01-31,KOR,2900.0,-4.2045292759217
2011-07-31,GBR,2.39,-4.2647724477245
2007-01-31,COL,6900.0,-4.3078989044849
2013-07-31,AUT,3.39,-4.3447147037308
2005-06-30,TUR,4.0,-4.5150078536406
2006-01-31,CAN,3.52,-4.5232127938895
2002-04-30,KOR,3100.0,-4.5260797792397
2002-04-30,EUR,2.67,-4.566265060241
2010-07-31,ARG,14.0,-4.6711153479504
2013-07-31,TUR,8.5,-4.7026139493735
2014-07-31,AUT,3.39,-4.8148800834202
2018-01-31,BEL,4.1,-4.9351325757576
2006-01-31,GBR,1.88,-5.0098126371327
2006-05-31,CHL,1560.0,-5.04277640313
2016-07-31,BRA,15.5,-5.122805368066
2000-04-30,EUR,2.56,-5.1474103585657
2018-07-31,NOR,42.0,-5.2
2002-04-30,MEX,21.9,-5.2243456584961
2006-01-31,CHL,1560.0,-5.2629181754002
2010-07-31,PER,10.0,-5.267146646457
2015-07-31,CAN,5.85,-5.3039960256816
2012-07-31,NLD,3.38,-5.3092316580011
2013-07-31,CRI,2150.0,-5.382034886964
2012-07-31,JPN,320.0,-5.4644641659358
2021-01-31,ISR,17.0,-5.5
2009-07-31,AUS,4.34,-5.5337419760817
2018-01-31,IRL,4.07,-5.6307291666667
2013-07-31,NZL,5.5,-5.6530724213607
2015-01-31,FRA,3.9,-5.6631524008351
2007-01-31,HUN,590.0,-5.757470069443
2015-07-31,GBR,2.89,-5.7944467640919
2008-06-30,AUS,3.45,-5.8102773273052
2017-01-31,FIN,4.55,-5.8662549407114
2021-07-31,CAN,6.77,-5.955
2006-05-31,PER,9.5,-6.0252643657695
2009-07-31,CAN,3.89,-6.13465526625
2019-07-31,SWE,51.0,-6.2
2014-01-31,COL,8600.0,-6.2033867556685
2015-01-31,NZL,5.9,-6.2097077244259
2015-07-31,FRA,4.1,-6.2178496868476
2015-07-31,FIN,4.1,-6.2178496868476
2004-05-31,KOR,3200.0,-6.2490844637155
2008-06-30,PER,9.5,-6.3005483883694
2009-07-31,COL,7000.0,-6.4332738248955
2022-01-31,URY,239.0,-6.585000000000001
2018-01-31,DNK,30.0,-6.590524243869
2021-01-31,CAN,6.77,-6.6000000000000005
2012-01-31,AUT,3.09,-6.6017864205355
2001-04-30,JPN,294.0,-6.6548133096266
2010-07-31,GBR,2.29,-6.6906785714286
2007-01-31,BRA,6.4,-6.8395762947479
2015-01-31,ITA,3.85,-6.8725991649269
2010-01-31,URY,77.0,-6.9114050454018
2015-01-31,ISR,17.5,-7.1350945843655
2011-07-31,TUR,6.5,-7.1877418138607
2001-04-30,MEX,21.9,-7.1900189010281
2018-01-31,URY,140.0,-7.2248022562928
2014-01-31,CRI,2150.0,-7.3659867320518
2012-07-31,NZL,5.1,-7.463431542461
2007-01-31,PER,9.5,-7.4992770338231
2014-07-31,TUR,9.25,-7.7540798562958
2007-06-30,KOR,2900.0,-7.8113948294908
2022-01-31,ISR,17.0,-7.922999999999999
2018-07-31,CAN,6.65,-8.0
2001-04-30,SWE,24.0,-8.085419283679
2010-07-31,CZE,67.64,-8.2528654476638
2016-07-31,ITA,4.2,-8.2541666666667
2013-01-31,PRT,2.95,-8.3434922603573
2022-01-31,CAN,6.77,-8.379
2013-01-31,ISR,14.9,-8.4011746925623
2018-01-31,ESP,3.95,-8.413115530303
2018-01-31,EUR,3.95,-8.413115530303
2008-06-30,CRI,1800.0,-8.4966642458951
2015-07-31,ITA,4.0,-8.5052192066806
2004-05-31,NZL,4.35,-8.5365853658537
2021-07-31,ISR,17.0,-8.603
2020-01-31,CAN,6.77,-8.613999999999999
2016-07-31,CAN,6.0,-8.6357490041297
2005-06-30,COL,6500.0,-8.743265603989
2021-01-31,EUR,4.25,-8.799999999999999
2015-01-31,GBR,2.89,-8.805114822547
2000-04-30,ROC,70.0,-8.8612868786293
2019-01-31,CAN,6.77,-8.9
2012-01-31,GBR,2.49,-8.9064904865601
2018-01-31,ISR,16.5,-9.060485689758
2021-07-31,URY,225.0,-9.493
2017-07-31,ITA,4.2,-9.5058490566038
2018-01-31,DEU,3.9,-9.5724431818182
2005-06-30,PER,8.99,-9.7305814314501
2015-01-31,AUS,5.3,-9.8391440501044
2017-07-31,ISR,16.9,-9.937035862646
2011-07-31,SIN,4.41,-10.122128436396
2004-05-31,CRI,1130.0,-10.124513340147
2011-07-31,PER,10.0,-10.136087662246
2019-07-31,CAN,6.77,-10.2
2006-05-31,BRA,6.4,-10.413706702874
2016-07-31,FRA,4.1,-10.438591269841
2010-07-31,CHL,1750.0,-10.484101976511
2015-01-31,BEL,3.7,-10.500939457203
2014-01-31,GRC,3.05,-10.531501171382
2013-01-31,PER,10.0,-10.541356048511
2015-07-31,BRA,13.5,-10.594584753734
2016-01-31,FRA,4.1,-10.598377281947
2016-01-31,FIN,4.1,-10.598377281947
2012-01-31,SIN,4.85,-10.618289493928
2012-07-31,AUT,3.19,-10.632085499711
2009-07-31,CHL,1750.0,-10.637849160264
2010-07-31,HUN,740.0,-10.701876493069
2008-06-30,URY,61.0,-10.773708961391
2001-04-30,KOR,3000.0,-10.860199078889
2018-01-31,AUS,5.9,-10.86865530303
2017-01-31,CAN,5.98,-10.873440285205
2010-01-31,SIN,4.45,-10.929973144887
2001-04-30,EUR,2.57,-10.96062992126
2015-01-31,EUR,3.68,-10.984718162839
2004-05-31,TUR,3950000.0,-11.034032298025
2020-07-31,CAN,6.88,-11.09
2021-07-31,EUR,4.27,-11.105
2010-01-31,CHL,1600.0,-11.165300277942
2004-05-31,PER,8.99,-11.174785100287
2008-06-30,LTU,6.9,-11.218506695283
2015-01-31,DEU,3.67,-11.226607515658
2006-05-31,NZL,4.45,-11.445094665194
2000-04-30,MEX,20.9,-11.512293017092
2012-01-31,PER,10.0,-11.512371829155
2017-07-31,FRA,4.1,-11.660471698113
2015-01-31,ESP,3.65,-11.710386221294
2013-07-31,GBR,2.69,-11.776068032187
2008-06-30,MEX,32.0,-11.849481888443
2021-01-31,AUS,6.48,-11.899999999999999
2016-07-31,DNK,30.0,-11.909888749237
2008-06-30,KOR,3200.0,-11.953387022507
2014-01-31,PRT,3.0,-11.998197873491
2007-06-30,PER,9.5,-12.032720124228
2006-05-31,TUR,4.2,-12.109068460758
2017-07-31,CAN,5.97,-12.156664248645
2008-06-30,CHL,1550.0,-12.226085218278
2017-07-31,IRL,4.07,-12.306858490566
